Date,Test,Sample,Treatment,Pathogen,Dilution,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10
6/21/2017,Turbidity,2,filtered,fr,5,26,30,52,41,44,38,32,37,39,31
6/21/2017,Turbidity,3,filtered,fr,5,39,50,48,46,53,47,44,38,38,42
6/13/2017,Turbidity,control,beef broth,MS2,5,25,26,22,27,20,32,18,36,29,25
6/13/2017,Turbidity,1,beef broth,MS2,4,39,30,33,23,20,22,31,35,32,35
6/13/2017,Turbidity,2,beef broth,MS2,4,31,34,40,34,40,29,39,34,37,28
6/13/2017,Turbidity,3,beef broth,MS2,4,21,27,25,23,27,22,22,17,25,29
6/13/2017,Turbidity,control,filtered,MS2,6,11,12,6,11,11,7,4,9,10,8
6/13/2017,Turbidity,1,filtered,MS2,4,26,27,40,32,34,33,26,39,25,22
6/13/2017,Turbidity,2,filtered,MS2,4,37,39,41,51,44,46,42,41,40,49
6/13/2017,Turbidity,3,filtered,MS2,4,51,38,49,52,51,55,40,37,54,48
6/21/2017,Turbidity,control,filtered,phiX174,5,37,32,44,30,49,29,35,43,48,56
6/21/2017,Turbidity,1,filtered,phiX174,5,6,5,6,7,4,9,5,9,8,12
6/21/2017,Turbidity,2,filtered,phiX174,4,15,20,19,24,27,16,12,19,22,25
6/21/2017,Turbidity,3,filtered,phiX174,5,8,4,9,2,8,8,10,15,9,7
6/21/2017,Turbidity,control,beef broth,phiX174,6,13,6,6,5,8,13,9,6,10,12
6/21/2017,Turbidity,1,beef broth,phiX174,5,13,17,20,23,11,19,14,15,18,12
6/21/2017,Turbidity,2,beef broth,phiX174,5,16,12,15,14,17,19,17,16,13,33
6/21/2017,Turbidity,3,beef broth,phiX174,5,24,18,22,19,26,32,15,22,20,13
6/18/2018,Baseline,control,beef broth,P22,6,18,11,17,15,14,15,12,18,14,9
6/18/2018,Baseline,1,beef broth,P22,4,35,36,27,46,20,50,25,22,45,36
6/18/2018,Baseline,2,beef broth,P22,5,37,41,57,55,40,41,50,50,38,48
6/18/2018,Baseline,3,beef broth,P22,5,9,7,8,7,7,8,7,8,8,7
6/18/2018,Baseline,control,filtered,P22,6,26,11,11,18,20,13,35,20,17,17
6/18/2018,Baseline,1,filtered,P22,4,19,18,17,20,11,12,11,17,12,28
6/18/2018,Baseline,2,filtered,P22,4,21,45,47,46,17,35,42,34,35,45
6/18/2018,Baseline,3,filtered,P22,4,33,32,34,24,38,39,40,53,34,24
7/2/2018,Turbidity,control,filtered,P22,5,49,38,30,33,42,40,46,41,31,38
7/2/2018,Turbidity,1,filtered,P22,3,30,49,41,30,29,45,44,33,34,39
7/2/2018,Turbidity,2,filtered,P22,3,24,21,15,26,23,26,24,19,24,20
7/2/2018,Turbidity,3,filtered,P22,3,25,23,24,34,21,33,29,24,35,25
7/2/2018,Turbidity,control,beef broth,P22,5,26,25,28,31,20,14,22,24,23,26
7/2/2018,Turbidity,1,beef broth,P22,4,16,25,23,31,28,39,23,31,34,19
7/2/2018,Turbidity,2,beef broth,P22,4,27,28,22,44,25,30,35,18,18,25
7/2/2018,Turbidity,3,beef broth,P22,4,31,33,27,28,21,24,31,23,25,25
7/3/2018,Chloride,control,filtered,P22,6,10,6,8,6,7,5,6,9,12,5
7/3/2018,Chloride,1,filtered,P22,2,0,0,0,0,0,0,0,0,0,0
7/3/2018,Chloride,2,filtered,P22,2,3,1,1,1,1,2,0,0,0,0
7/3/2018,Chloride,3,filtered,P22,2,2,1,0,0,0,0,0,0,0,0
7/3/2018,Chloride,control,beef broth,P22,5,42,39,55,38,13,24,39,31,25,45
7/3/2018,Chloride,1,beef broth,P22,2,43,27,37,39,13,42,24,35,43,30
7/3/2018,Chloride,2,beef broth,P22,2,41,37,46,34,22,37,36,32,31,36
7/3/2018,Chloride,3,beef broth,P22,2,39,29,51,34,38,49,61,27,39,46
7/5/2018,NOM,control,filtered,P22,5,73,30,52,42,45,32,67,35,38,52
7/5/2018,NOM,1,filtered,P22,3,10,13,10,10,8,5,5,6,5,7
7/5/2018,NOM,2,filtered,P22,3,11,17,7,18,17,19,20,24,14,23
7/5/2018,NOM,3,filtered,P22,3,6,7,9,7,12,8,7,5,9,9
7/5/2018,NOM,control,beef broth,P22,5,26,14,28,23,25,23,25,30,16,27
7/5/2018,NOM,1,beef broth,P22,3,8,6,6,4,5,4,3,5,4,7
7/5/2018,NOM,2,beef broth,P22,3,9,9,5,7,6,5,6,6,8,4
7/5/2018,NOM,3,beef broth,P22,3,6,6,6,3,5,3,5,3,4,7
6/19/2017,NOM,control,filtered,phiX174,5,18,12,17,15,12,20,21,17,15,19
6/19/2017,NOM,1,filtered,phiX174,5,13,15,12,10,18,24,19,21,19,23
6/19/2017,NOM,2,filtered,phiX174,4,11,12,7,7,16,,,,,
6/19/2017,NOM,3,filtered,phiX174,5,16,14,21,12,19,13,19,15,18,18
6/19/2017,NOM,control,beef broth,phiX174,5,10,9,6,16,9,12,9,9,12,8
6/19/2017,NOM,1,beef broth,phiX174,5,10,13,13,16,5,8,10,11,10,8
6/19/2017,NOM,2,beef broth,phiX174,5,9,9,7,6,4,5,7,6,8,12
6/19/2017,NOM,3,beef broth,phiX174,5,10,12,8,5,8,11,13,15,12,12
3/22/2017,CCC-FeCl3,control,filtered,MS2,6,9,11,11,13,15,17,8,11,13,12
3/22/2017,CCC-FeCl3,1,filtered,MS2,4,5,9,7,5,6,6,6,11,8,7
3/22/2017,CCC-FeCl3,2,filtered,MS2,3,18,21,16,13,14,10,15,13,15,20
3/22/2017,CCC-FeCl3,3,filtered,MS2,3,11,11,16,15,13,10,18,16,11,10
3/22/2017,CCC-FeCl3,control,beef broth,MS2,6,7,10,10,5,8,7,13,7,8,11
3/22/2017,CCC-FeCl3,1,beef broth,MS2,5,26,47,50,50,92,55,59,56,60,47
3/22/2017,CCC-FeCl3,2,beef broth,MS2,5,45,45,41,41,36,32,45,42,49,37
3/22/2017,CCC-FeCl3,3,beef broth,MS2,5,43,43,37,32,51,51,51,56,39,45
3/22/2017,CCC-FeCl3,control,filtered,P22,6,22,23,20,23,29,16,21,23,17,27
3/22/2017,CCC-FeCl3,1,filtered,P22,5,6,6,5,5,7,2,5,8,4,5
3/22/2017,CCC-FeCl3,2,filtered,P22,4,17,16,19,16,23,29,26,14,28,22
3/22/2017,CCC-FeCl3,3,filtered,P22,4,27,29,24,18,29,30,19,24,26,29
3/22/2017,CCC-FeCl3,control,beef broth,P22,6,5,6,9,6,6,6,8,5,3,7
3/22/2017,CCC-FeCl3,1,beef broth,P22,6,12,13,15,13,12,9,11,23,16,17
3/22/2017,CCC-FeCl3,2,beef broth,P22,6,8,11,8,14,14,7,7,9,8,8
3/22/2017,CCC-FeCl3,3,beef broth,P22,6,8,8,9,9,13,12,12,12,12,10
11/15/2016,pre-formed floc,control,filtered,phiX174,6,2,2,3,5,5,4,4,6,7,8
11/15/2016,pre-formed floc,control,w/ electrode,phiX174,6,5,3,3,5,4,10,1,4,6,7
11/15/2016,pre-formed floc,1,filtered,phiX174,6,3,3,4,1,3,3,2,1,4,3
11/15/2016,pre-formed floc,2,filtered,phiX174,6,5,6,4,3,1,3,2,3,1,6
11/15/2016,pre-formed floc,3,filtered,phiX174,6,6,2,6,2,2,3,3,1,4,6
11/15/2016,pre-formed floc,control,beef broth,phiX174,6,3,4,4,5,2,3,5,3,3,4
11/15/2016,pre-formed floc,1,beef broth,phiX174,6,3,2,2,3,2,4,2,3,3,4
11/15/2016,pre-formed floc,2,beef broth,phiX174,6,4,3,5,1,1,4,4,5,5,3
11/15/2016,pre-formed floc,3,beef broth,phiX174,6,2,1,1,4,1,2,5,2,0,0
11/15/2016,pre-formed floc,control,filtered,fr,6,48,33,31,49,21,24,22,12,9,24
